date,league,team,opponent,venue,goals_for,goals_against,xg,xga,result
2026-06-11,FIFA World Cup,Argentina,New Zealand,home,3,0,2.88,0.43,W
2026-06-11,FIFA World Cup,Brazil,Uzbekistan,home,2,0,2.79,0.76,W
2026-06-11,FIFA World Cup,DR Congo,Uruguay,away,1,2,0.9,2.04,L
2026-06-11,FIFA World Cup,Egypt,Jordan,home,2,1,2.0,0.7,W
2026-06-11,FIFA World Cup,England,Iran,home,3,0,3.04,0.69,W
2026-06-11,FIFA World Cup,France,Haiti,home,4,0,3.5,0.33,W
2026-06-11,FIFA World Cup,Germany,Ghana,home,3,1,2.88,1.13,W
2026-06-11,FIFA World Cup,Ghana,Germany,away,1,3,1.13,2.88,L
2026-06-11,FIFA World Cup,Haiti,France,away,0,4,0.33,3.5,L
2026-06-11,FIFA World Cup,Iran,England,away,0,3,0.69,3.04,L
2026-06-11,FIFA World Cup,Jordan,Egypt,away,1,2,0.7,2.0,L
2026-06-11,FIFA World Cup,New Zealand,Argentina,away,0,3,0.43,2.88,L
2026-06-11,FIFA World Cup,Panama,Spain,away,0,2,0.42,2.36,L
2026-06-11,FIFA World Cup,Scotland,Switzerland,away,1,3,1.1,2.85,L
2026-06-11,FIFA World Cup,Spain,Panama,home,2,0,2.36,0.42,W
2026-06-11,FIFA World Cup,Switzerland,Scotland,home,3,1,2.85,1.1,W
2026-06-11,FIFA World Cup,Uruguay,DR Congo,home,2,1,2.04,0.9,W
2026-06-11,FIFA World Cup,Uzbekistan,Brazil,away,0,2,0.76,2.79,L
2026-06-12,FIFA World Cup,Algeria,Austria,away,1,2,0.8,2.06,L
2026-06-12,FIFA World Cup,Austria,Algeria,home,2,1,2.06,0.8,W
2026-06-12,FIFA World Cup,Belgium,Iran,home,3,0,2.28,0.77,W
2026-06-12,FIFA World Cup,Colombia,Portugal,away,1,1,1.16,1.66,D
2026-06-12,FIFA World Cup,Iran,Belgium,away,0,3,0.77,2.28,L
2026-06-12,FIFA World Cup,Japan,Tunisia,away,2,0,1.95,0.78,W
2026-06-12,FIFA World Cup,Mexico,South Africa,home,2,0,2.12,0.53,W
2026-06-12,FIFA World Cup,Netherlands,Japan,home,2,1,2.85,1.37,W
2026-06-12,FIFA World Cup,Portugal,Colombia,home,1,1,1.66,1.16,D
2026-06-12,FIFA World Cup,South Africa,Mexico,away,0,2,0.53,2.12,L
2026-06-12,FIFA World Cup,Tunisia,Japan,home,0,2,0.78,1.95,L
2026-06-13,FIFA World Cup,Australia,Czech Republic,home,0,2,0.86,1.67,L
2026-06-13,FIFA World Cup,Croatia,Ghana,home,2,0,1.92,0.62,W
2026-06-13,FIFA World Cup,Czech Republic,Australia,away,2,0,1.67,0.86,W
2026-06-13,FIFA World Cup,Ghana,Croatia,away,0,2,0.62,1.92,L
2026-06-13,FIFA World Cup,Ivory Coast,Turkey,home,1,1,0.92,0.85,D
2026-06-13,FIFA World Cup,Paraguay,USA,away,0,1,0.63,1.68,L
2026-06-13,FIFA World Cup,Turkey,Ivory Coast,away,1,1,0.85,0.92,D
2026-06-13,FIFA World Cup,USA,Paraguay,home,1,0,1.68,0.63,W
2026-06-14,FIFA World Cup,Bosnia and Herzegovina,Canada,away,1,1,0.77,1.15,D
2026-06-14,FIFA World Cup,Canada,Bosnia and Herzegovina,home,1,1,1.15,0.77,D
2026-06-14,FIFA World Cup,Cape Verde,Saudi Arabia,away,1,2,0.72,1.66,L
2026-06-14,FIFA World Cup,Czechia,South Korea,away,0,1,0.6,1.55,L
2026-06-14,FIFA World Cup,Haiti,Morocco,away,0,3,0.58,2.38,L
2026-06-14,FIFA World Cup,Iraq,Senegal,away,0,4,0.65,3.71,L
2026-06-14,FIFA World Cup,Morocco,Haiti,home,3,0,2.38,0.58,W
2026-06-14,FIFA World Cup,Saudi Arabia,Cape Verde,home,2,1,1.66,0.72,W
2026-06-14,FIFA World Cup,Senegal,Iraq,home,4,0,3.71,0.65,W
2026-06-14,FIFA World Cup,South Korea,Czechia,home,1,0,1.55,0.6,W
2026-06-16,FIFA World Cup,Argentina,Egypt,home,2,0,1.98,0.84,W
2026-06-16,FIFA World Cup,Brazil,Morocco,home,3,1,2.93,1.33,W
2026-06-16,FIFA World Cup,Croatia,England,away,0,1,0.95,1.8,L
2026-06-16,FIFA World Cup,Egypt,Argentina,away,0,2,0.84,1.98,L
2026-06-16,FIFA World Cup,England,Croatia,home,1,0,1.8,0.95,W
2026-06-16,FIFA World Cup,France,Senegal,home,2,1,2.19,1.12,W
2026-06-16,FIFA World Cup,Germany,Uruguay,home,2,0,2.25,0.91,W
2026-06-16,FIFA World Cup,Ghana,Panama,home,1,1,1.31,0.77,D
2026-06-16,FIFA World Cup,Haiti,Scotland,away,0,2,0.76,1.76,L
2026-06-16,FIFA World Cup,Iraq,Norway,away,0,2,0.57,2.04,L
2026-06-16,FIFA World Cup,Jordan,New Zealand,away,1,0,0.79,0.79,W
2026-06-16,FIFA World Cup,Morocco,Brazil,away,1,3,1.33,2.93,L
2026-06-16,FIFA World Cup,Netherlands,Sweden,home,2,1,1.99,1.08,W
2026-06-16,FIFA World Cup,New Zealand,Jordan,home,0,1,0.79,0.79,L
2026-06-16,FIFA World Cup,Norway,Iraq,home,2,0,2.04,0.57,W
2026-06-16,FIFA World Cup,Panama,Ghana,away,1,1,0.77,1.31,D
2026-06-16,FIFA World Cup,Scotland,Haiti,home,2,0,1.76,0.76,W
2026-06-16,FIFA World Cup,Senegal,France,away,1,2,1.12,2.19,L
2026-06-16,FIFA World Cup,Sweden,Netherlands,away,1,2,1.08,1.99,L
2026-06-16,FIFA World Cup,Tunisia,Sweden,away,1,5,0.99,4.29,L
2026-06-16,FIFA World Cup,Uruguay,Germany,away,0,2,0.91,2.25,L
2026-06-17,FIFA World Cup,Belgium,Portugal,away,0,1,0.8,1.79,L
2026-06-17,FIFA World Cup,Colombia,Iran,home,2,1,1.87,0.9,W
2026-06-17,FIFA World Cup,DR Congo,Spain,away,0,3,0.39,3.03,L
2026-06-17,FIFA World Cup,Iran,Colombia,away,1,2,0.9,1.87,L
2026-06-17,FIFA World Cup,Japan,Sweden,home,2,1,1.89,0.95,W
2026-06-17,FIFA World Cup,Netherlands,Tunisia,home,4,0,3.21,0.7,W
2026-06-17,FIFA World Cup,Portugal,Belgium,home,1,0,1.79,0.8,W
2026-06-17,FIFA World Cup,Saudi Arabia,Uzbekistan,home,2,0,1.79,0.32,W
2026-06-17,FIFA World Cup,Spain,DR Congo,home,3,0,3.03,0.39,W
2026-06-17,FIFA World Cup,Sweden,Japan,away,1,2,0.95,1.89,L
2026-06-17,FIFA World Cup,Tunisia,Netherlands,away,0,4,0.7,3.21,L
2026-06-17,FIFA World Cup,Uzbekistan,Saudi Arabia,away,0,2,0.32,1.79,L
2026-06-18,FIFA World Cup,Algeria,South Africa,home,1,1,0.86,0.88,D
2026-06-18,FIFA World Cup,Australia,Costa Rica,home,2,1,1.81,1.42,W
2026-06-18,FIFA World Cup,Austria,Mexico,away,1,2,1.52,1.95,L
2026-06-18,FIFA World Cup,Cameroon,Czech Republic,away,0,2,0.66,1.74,L
2026-06-18,FIFA World Cup,Costa Rica,Australia,away,1,2,1.42,1.81,L
2026-06-18,FIFA World Cup,Czech Republic,Cameroon,home,2,0,1.74,0.66,W
2026-06-18,FIFA World Cup,Ivory Coast,USA,away,0,1,0.73,1.27,L
2026-06-18,FIFA World Cup,Mexico,Austria,home,2,1,1.95,1.52,W
2026-06-18,FIFA World Cup,Paraguay,Turkey,home,0,1,0.76,0.7,L
2026-06-18,FIFA World Cup,South Africa,Algeria,away,1,1,0.88,0.86,D
2026-06-18,FIFA World Cup,Turkey,Paraguay,away,1,0,0.7,0.76,W
2026-06-18,FIFA World Cup,USA,Ivory Coast,home,1,0,1.27,0.73,W
2026-06-19,FIFA World Cup,Bosnia and Herzegovina,Switzerland,away,1,4,0.76,2.96,L
2026-06-19,FIFA World Cup,Canada,Qatar,home,6,0,2.41,0.71,W
2026-06-19,FIFA World Cup,Czechia,South Africa,home,1,1,1.12,0.71,D
2026-06-19,FIFA World Cup,Mexico,South Korea,home,1,0,1.24,0.98,W
2026-06-19,FIFA World Cup,Qatar,Canada,away,0,6,0.71,2.41,L
2026-06-19,FIFA World Cup,South Africa,Czechia,away,1,1,0.71,1.12,D
2026-06-19,FIFA World Cup,South Korea,Mexico,away,0,1,0.98,1.24,L
2026-06-19,FIFA World Cup,Switzerland,Bosnia and Herzegovina,home,4,1,2.96,0.76,W
2026-06-20,FIFA World Cup,Australia,USA,away,0,2,0.74,2.09,L
2026-06-20,FIFA World Cup,Brazil,Haiti,home,3,0,2.96,0.32,W
2026-06-20,FIFA World Cup,Germany,Ivory Coast,home,2,1,1.96,0.85,W
2026-06-20,FIFA World Cup,Haiti,Brazil,away,0,3,0.32,2.96,L
2026-06-20,FIFA World Cup,Ivory Coast,Germany,away,1,2,0.85,1.96,L
2026-06-20,FIFA World Cup,Morocco,Scotland,away,1,0,1.4,0.8,W
2026-06-20,FIFA World Cup,Netherlands,Sweden,home,5,1,3.88,0.89,W
2026-06-20,FIFA World Cup,Paraguay,Turkey,away,1,0,0.94,0.43,W
2026-06-20,FIFA World Cup,Scotland,Morocco,home,0,1,0.8,1.4,L
2026-06-20,FIFA World Cup,Sweden,Netherlands,away,1,5,0.89,3.88,L
2026-06-20,FIFA World Cup,Turkey,Paraguay,home,0,1,0.43,0.94,L
2026-06-20,FIFA World Cup,USA,Australia,home,2,0,2.09,0.74,W
2026-06-21,FIFA World Cup,Curaçao,Ecuador,away,0,0,0.35,0.45,D
2026-06-21,FIFA World Cup,Ecuador,Curaçao,home,0,0,0.45,0.35,D
2026-06-21,FIFA World Cup,Germany,Ivory Coast,home,2,1,2.11,1.22,W
2026-06-21,FIFA World Cup,Ivory Coast,Germany,away,1,2,1.22,2.11,L
2026-06-21,FIFA World Cup,Japan,Tunisia,away,4,0,3.42,0.34,W
2026-06-21,FIFA World Cup,Netherlands,Sweden,home,5,1,3.79,1.14,W
2026-06-21,FIFA World Cup,Sweden,Netherlands,away,1,5,1.14,3.79,L
2026-06-21,FIFA World Cup,Tunisia,Japan,home,0,4,0.34,3.42,L
